GroupName,Subject,LectureHours,LabHours,NeedsDivision
G1,Subject_1,16,8,No
G1,Subject_2,20,7,Yes
G1,Subject_3,20,5,No
G1,Subject_4,17,15,No
G1,Subject_5,14,14,No
G1,Subject_6,11,11,Yes
G2,Subject_1,13,11,Yes
G2,Subject_2,11,15,No
G2,Subject_3,10,7,No
G2,Subject_4,11,9,No
G2,Subject_5,18,9,Yes
G2,Subject_6,12,8,Yes
G3,Subject_1,20,14,No
G3,Subject_2,10,6,No
G3,Subject_3,10,7,No
G3,Subject_4,20,11,No
G3,Subject_5,10,14,No
G3,Subject_6,10,5,Yes
G4,Subject_1,17,6,No
G4,Subject_2,17,10,No
G4,Subject_3,14,15,Yes
G4,Subject_4,19,12,Yes
G4,Subject_5,16,8,No
G4,Subject_6,15,10,Yes
